b b b b b b b b b b b b b b b b b b b e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 e 
b b b b b b b b b b b b b b b b b b b e 
