b b b b b b b b b b b b b b b b b b b b b b b b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 s s 0 0 0 0 s 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 b b b 0 0 0 l b 0 0 b 
b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 l b 0 0 b 
b 0 0 0 0 0 0 0 0 0 s s 0 0 0 0 0 0 0 l b 0 0 b 
b 0 0 0 0 0 0 0 0 b b b 0 0 0 0 0 0 0 l b 0 0 b 
b 0 0 0 0 0 s s 0 0 0 0 0 0 0 0 0 0 0 l b 0 0 b 
b 0 0 0 0 b b b 0 0 0 0 0 0 0 0 0 0 0 l b 0 0 b 
b 0 0 l l l l l l l l l l l l l l l l l b 0 p b 
b b b b b b b b b b b b b b b b b b b b b b b b 
